State,County,income_1989,income_2010,income_2023,income_1989_real_2023,income_2010_real_2023,income_2023.1,pct_highschool_or_more (1990),pct_highschool_or_more (2010),pct_highschool_or_more_(2023),Established firms 1989,Established firms 2010,Established firms 2022,Pop 1890,Pop 1990,Pop 2010,Pop 2023,churches_1890,churches_1990,churches_2010,churches_2020,church_density_1890,church_density_1990,church_density_2010,church_density_2020,church_persistence_index,Church_persistence_index_3yr,Index_v2,z1890,z1990,index_1890_1990_raw,index_1890_1990
OH,HOLMES,25448,43533,74774,62224,60519,74774,46.9,56.3,57.1,70.0,79,117,21139.0,32849,42366,44386,61.0,130,203,262,2.89,3.96,4.79,5.9,1.7395359270796,1.6749972663471,1.5927623631510800,-0.5714285714285710,2.117647058823530,0.773109243697479,0.42445428023440900
OH,HURON,27401,47058,65972,67000,65419,65972,74.1,86.4,90.7,126.0,81,78,31949.0,56240,59626,58199,93.0,77,88,86,2.91,1.37,1.48,1.48,-0.979711376113891,-0.670669680930788,-0.7408334409712190,-0.5476190476190470,-0.9294117647058820,-0.7385154061624650,-0.7144946604485210
OH,JACKSON,18298,34044,58409,44742,47328,58409,60.9,79.4,87.5,68.0,22,31,28408.0,30230,33225,32606,100.0,68,85,79,3.52,2.25,2.56,2.42,-0.0529384492239134,-0.001752036628815,0.0056626768714344,0.1785714285714280,0.10588235294117600,0.14222689075630200,-0.05089043423851430
OH,JEFFERSON,22142,37527,56983,54141,52170,56983,71.9,87.3,92.9,133.0,82,93,39415.0,80298,69709,64026,112.0,146,153,136,2.84,1.82,2.19,2.12,-0.292484833983413,-0.257303001664683,-0.3398011490519520,-0.630952380952381,-0.4000000000000000,-0.5154761904761910,-0.5464434987661750
OH,KNOX,24701,45655,73988,60398,63469,73988,75.2,87.5,91.1,99.0,78,84,27600.0,47473,60921,63320,94.0,91,120,128,3.41,1.92,1.97,2.02,-0.292484833983413,-0.307132123647468,-0.3124565381890990,0.047619047619047600,-0.2823529411764710,-0.11736694677871200,-0.24648404690930200
OH,LAKE,35605,54896,77952,87060,76316,77952,81.1,90.7,93.9,676.0,419,445,18235.0,215499,230041,231640,44.0,117,167,161,2.41,0.54,0.73,0.7,-0.979711376113891,-1.21453506080902,-1.3470589022598800,-1.1428571428571400,-1.9058823529411800,-1.5243697478991600,-1.306604593383940
OH,LAWRENCE,19454,36461,54842,47568,50688,54842,65.9,82.0,90.0,95.0,57,58,39556.0,61834,62450,56118,109.0,91,92,91,2.76,1.47,1.47,1.62,-0.770700730092613,-0.619738592051005,-0.7110621974581510,-0.7261904761904760,-0.811764705882353,-0.7689775910364150,-0.7374467029388890
OH,LICKING,29606,53291,81033,72391,74085,81033,76.4,88.2,93.1,240.0,215,322,43279.0,128300,166492,183201,142.0,157,195,204,3.28,1.22,1.17,1.11,-0.979711376113891,-0.858857558181949,-0.8778745662436350,-0.10714285714285700,-1.1058823529411800,-0.606512605042017,-0.6150358096569290
OH,LOGAN,26857,46493,69183,65670,64634,69183,74.5,85.9,92.9,98.0,59,61,27386.0,42310,45858,46057,118.0,70,87,86,4.31,1.65,1.9,1.87,-0.292484833983413,-0.420432883908045,-0.2984437188948370,1.119047619047620,-0.6000000000000000,0.25952380952380900,0.03748812017841810
OH,LORAIN,31098,52066,70693,76040,72382,70693,75.3,88.5,91.5,473.0,423,456,40295.0,271126,301356,317910,105.0,228,291,292,2.61,0.84,0.97,0.92,-0.979711376113891,-1.03838481136442,-1.1460767060701300,-0.9047619047619050,-1.5529411764705900,-1.2288515406162500,-1.0839433995693300
